date,hour,village_ward,pump_id,liters_pumped,power_kwh
2024-06-01,0,Ward_A,PUMP_A01,51.99,0.0416
2024-06-01,0,Ward_B,PUMP_B01,49.45,0.0396
2024-06-01,0,Ward_C,PUMP_C01,52.59,0.0421
2024-06-01,0,Ward_D,PUMP_D01,56.09,0.0449
2024-06-01,0,Ward_E,PUMP_E01,49.06,0.0393
2024-06-01,1,Ward_A,PUMP_A01,49.06,0.0393
2024-06-01,1,Ward_B,PUMP_B01,56.32,0.0451
2024-06-01,1,Ward_C,PUMP_C01,53.07,0.0425
2024-06-01,1,Ward_D,PUMP_D01,48.12,0.0385
2024-06-01,1,Ward_E,PUMP_E01,52.17,0.0417
2024-06-01,2,Ward_A,PUMP_A01,48.15,0.0385
2024-06-01,2,Ward_B,PUMP_B01,48.14,0.0385
2024-06-01,2,Ward_C,PUMP_C01,50.97,0.0408
2024-06-01,2,Ward_D,PUMP_D01,42.35,0.0339
2024-06-01,2,Ward_E,PUMP_E01,43.1,0.0345
2024-06-01,3,Ward_A,PUMP_A01,47.75,0.0382
2024-06-01,3,Ward_B,PUMP_B01,45.95,0.0368
2024-06-01,3,Ward_C,PUMP_C01,51.26,0.041
2024-06-01,3,Ward_D,PUMP_D01,46.37,0.0371
2024-06-01,3,Ward_E,PUMP_E01,44.35,0.0355
2024-06-01,4,Ward_A,PUMP_A01,55.86,0.0447
2024-06-01,4,Ward_B,PUMP_B01,49.1,0.0393
2024-06-01,4,Ward_C,PUMP_C01,50.27,0.0402
2024-06-01,4,Ward_D,PUMP_D01,44.3,0.0354
2024-06-01,4,Ward_E,PUMP_E01,47.82,0.0383
2024-06-01,5,Ward_A,PUMP_A01,50.44,0.0404
2024-06-01,5,Ward_B,PUMP_B01,45.4,0.0363
2024-06-01,5,Ward_C,PUMP_C01,51.5,0.0412
2024-06-01,5,Ward_D,PUMP_D01,47.6,0.0381
2024-06-01,5,Ward_E,PUMP_E01,48.83,0.0391
2024-06-01,6,Ward_A,PUMP_A01,475.93,0.3807
2024-06-01,6,Ward_B,PUMP_B01,574.09,0.4593
2024-06-01,6,Ward_C,PUMP_C01,499.46,0.3996
2024-06-01,6,Ward_D,PUMP_D01,457.69,0.3662
2024-06-01,6,Ward_E,PUMP_E01,532.9,0.4263
2024-06-01,7,Ward_A,PUMP_A01,451.17,0.3609
2024-06-01,7,Ward_B,PUMP_B01,508.35,0.4067
2024-06-01,7,Ward_C,PUMP_C01,421.61,0.3373
2024-06-01,7,Ward_D,PUMP_D01,446.87,0.3575
2024-06-01,7,Ward_E,PUMP_E01,507.87,0.4063
2024-06-01,8,Ward_A,PUMP_A01,529.54,0.4236
2024-06-01,8,Ward_B,PUMP_B01,506.85,0.4055
2024-06-01,8,Ward_C,PUMP_C01,495.37,0.3963
2024-06-01,8,Ward_D,PUMP_D01,487.96,0.3904
2024-06-01,8,Ward_E,PUMP_E01,440.86,0.3527
2024-06-01,9,Ward_A,PUMP_A01,47.12,0.0377
2024-06-01,9,Ward_B,PUMP_B01,48.16,0.0385
2024-06-01,9,Ward_C,PUMP_C01,54.23,0.0434
2024-06-01,9,Ward_D,PUMP_D01,51.37,0.0411
2024-06-01,9,Ward_E,PUMP_E01,42.95,0.0344
2024-06-01,10,Ward_A,PUMP_A01,51.3,0.041
2024-06-01,10,Ward_B,PUMP_B01,48.46,0.0388
2024-06-01,10,Ward_C,PUMP_C01,47.29,0.0378
2024-06-01,10,Ward_D,PUMP_D01,52.45,0.042
2024-06-01,10,Ward_E,PUMP_E01,54.12,0.0433
2024-06-01,11,Ward_A,PUMP_A01,53.73,0.043
2024-06-01,11,Ward_B,PUMP_B01,46.64,0.0373
2024-06-01,11,Ward_C,PUMP_C01,48.76,0.039
2024-06-01,11,Ward_D,PUMP_D01,51.33,0.0411
2024-06-01,11,Ward_E,PUMP_E01,53.9,0.0431
2024-06-01,12,Ward_A,PUMP_A01,48.08,0.0385
2024-06-01,12,Ward_B,PUMP_B01,49.26,0.0394
2024-06-01,12,Ward_C,PUMP_C01,45.57,0.0365
2024-06-01,12,Ward_D,PUMP_D01,45.22,0.0362
2024-06-01,12,Ward_E,PUMP_E01,53.25,0.0426
2024-06-01,13,Ward_A,PUMP_A01,55.42,0.0443
2024-06-01,13,Ward_B,PUMP_B01,49.71,0.0398
2024-06-01,13,Ward_C,PUMP_C01,54.01,0.0432
2024-06-01,13,Ward_D,PUMP_D01,51.45,0.0412
2024-06-01,13,Ward_E,PUMP_E01,47.42,0.0379
2024-06-01,14,Ward_A,PUMP_A01,51.45,0.0412
2024-06-01,14,Ward_B,PUMP_B01,56.15,0.0449
2024-06-01,14,Ward_C,PUMP_C01,49.86,0.0399
2024-06-01,14,Ward_D,PUMP_D01,56.26,0.045
2024-06-01,14,Ward_E,PUMP_E01,39.52,0.0316
2024-06-01,15,Ward_A,PUMP_A01,53.29,0.0426
2024-06-01,15,Ward_B,PUMP_B01,50.35,0.0403
2024-06-01,15,Ward_C,PUMP_C01,48.8,0.039
2024-06-01,15,Ward_D,PUMP_D01,50.37,0.0403
2024-06-01,15,Ward_E,PUMP_E01,42.05,0.0336
2024-06-01,16,Ward_A,PUMP_A01,49.12,0.0393
2024-06-01,16,Ward_B,PUMP_B01,51.43,0.0411
2024-06-01,16,Ward_C,PUMP_C01,55.91,0.0447
2024-06-01,16,Ward_D,PUMP_D01,47.93,0.0383
2024-06-01,16,Ward_E,PUMP_E01,46.77,0.0374
2024-06-01,17,Ward_A,PUMP_A01,479.93,0.3839
2024-06-01,17,Ward_B,PUMP_B01,536.62,0.4293
2024-06-01,17,Ward_C,PUMP_C01,513.15,0.4105
2024-06-01,17,Ward_D,PUMP_D01,478.81,0.383
2024-06-01,17,Ward_E,PUMP_E01,520.53,0.4164
2024-06-01,18,Ward_A,PUMP_A01,503.88,0.4031
2024-06-01,18,Ward_B,PUMP_B01,538.75,0.431
2024-06-01,18,Ward_C,PUMP_C01,471.92,0.3775
2024-06-01,18,Ward_D,PUMP_D01,486.89,0.3895
2024-06-01,18,Ward_E,PUMP_E01,484.32,0.3875
2024-06-01,19,Ward_A,PUMP_A01,441.46,0.3532
2024-06-01,19,Ward_B,PUMP_B01,511.84,0.4095
2024-06-01,19,Ward_C,PUMP_C01,510.44,0.4084
2024-06-01,19,Ward_D,PUMP_D01,500.2,0.4002
2024-06-01,19,Ward_E,PUMP_E01,490.62,0.3925
2024-06-01,20,Ward_A,PUMP_A01,44.34,0.0355
2024-06-01,20,Ward_B,PUMP_B01,48.32,0.0387
2024-06-01,20,Ward_C,PUMP_C01,48.63,0.0389
2024-06-01,20,Ward_D,PUMP_D01,46.79,0.0374
2024-06-01,20,Ward_E,PUMP_E01,49.35,0.0395
2024-06-01,21,Ward_A,PUMP_A01,51.62,0.0413
2024-06-01,21,Ward_B,PUMP_B01,57.54,0.046
2024-06-01,21,Ward_C,PUMP_C01,50.7,0.0406
2024-06-01,21,Ward_D,PUMP_D01,51.03,0.0408
2024-06-01,21,Ward_E,PUMP_E01,49.7,0.0398
2024-06-01,22,Ward_A,PUMP_A01,42.32,0.0339
2024-06-01,22,Ward_B,PUMP_B01,49.89,0.0399
2024-06-01,22,Ward_C,PUMP_C01,50.24,0.0402
2024-06-01,22,Ward_D,PUMP_D01,59.85,0.0479
2024-06-01,22,Ward_E,PUMP_E01,49.23,0.0394
2024-06-01,23,Ward_A,PUMP_A01,51.21,0.041
2024-06-01,23,Ward_B,PUMP_B01,49.86,0.0399
2024-06-01,23,Ward_C,PUMP_C01,45.33,0.0363
2024-06-01,23,Ward_D,PUMP_D01,54.57,0.0437
2024-06-01,23,Ward_E,PUMP_E01,53.01,0.0424
2024-06-02,0,Ward_A,PUMP_A01,53.16,0.0425
2024-06-02,0,Ward_B,PUMP_B01,46.36,0.0371
2024-06-02,0,Ward_C,PUMP_C01,55.61,0.0445
2024-06-02,0,Ward_D,PUMP_D01,44.39,0.0355
2024-06-02,0,Ward_E,PUMP_E01,52.35,0.0419
2024-06-02,1,Ward_A,PUMP_A01,58.76,0.047
